국가,스타일,예산,기간
도쿄,도시,150,3
오사카,도시,140,3
교토,문화,170,4
후쿠오카,도시,120,3
삿포로,자연,220,5
오키나와,휴양,180,4
제주도,휴양,80,3
부산,도시,70,2
강릉,자연,60,2
여수,휴양,70,2
다낭,휴양,100,5
나트랑,휴양,120,5
푸꾸옥,휴양,130,5
하노이,도시,90,4
호치민,도시,100,4
방콕,도시,130,4
푸켓,휴양,200,5
치앙마이,문화,110,4
파타야,휴양,140,4
싱가포르,도시,250,4
쿠알라룸푸르,도시,140,4
코타키나발루,휴양,150,5
발리,휴양,180,5
자카르타,도시,150,4
세부,휴양,120,5
보라카이,휴양,170,5
마닐라,도시,110,4
타이베이,도시,140,4
가오슝,도시,130,4
홍콩,도시,180,3
마카오,도시,190,3
베이징,문화,170,4
상하이,도시,180,4
칭다오,도시,140,4
파리,문화,350,7
로마,문화,340,7
바르셀로나,도시,330,7
런던,도시,380,7
베를린,도시,320,7
프라하,문화,280,6
비엔나,문화,340,7
암스테르담,도시,340,7
취리히,자연,450,7
인터라켄,자연,470,7
뉴욕,도시,450,7
로스앤젤레스,도시,420,7
샌프란시스코,도시,430,7
하와이,휴양,500,7
밴쿠버,자연,380,7
토론토,도시,390,7
시드니,도시,420,7
멜버른,도시,400,7
골드코스트,휴양,410,7
오클랜드,자연,400,7
퀸스타운,자연,430,7
몰디브,휴양,500,6
괌,휴양,250,5
사이판,휴양,220,5
피지,휴양,480,7
